asset_id,as_of_date,age_years,material,pipe_size,length_m,pressure_zone,past_break_count,breaks_last_3y,criticality,years_since_last_break,had_prior_break,predicted_median_days,predicted_median_months,risk_probability_12m,risk_probability_24m,risk_probability_36m,raw_risk_probability_12m,raw_risk_probability_24m,raw_risk_probability_36m,driver_1_feature,driver_1_value,driver_1_direction,driver_1_contribution,driver_2_feature,driver_2_value,driver_2_direction,driver_2_contribution,driver_3_feature,driver_3_value,driver_3_direction,driver_3_contribution,criticality_was_imputed,criticality_used,criticality_normalized,urgency_score,priority_score,priority_rank,priority_percentile,priority_band,recommended_action
138742,2026-01-01,7.334852871722212,PVC,300.0,14.6833173539744,KIT 6,0,0,,,0,529758.1079490774,17405.14122915304,1.9845741344925468e-05,1.9845741344925468e-05,1.9845741344925468e-05,1.665659553989752e-13,2.2420294109065926e-11,3.1898219588766414e-10,age_years,7.33485,reduces risk,-1.2243491411209106,length_m,14.6833,reduces risk,-1.0580867528915405,pressure_zone,KIT 6,reduces risk,-0.49174389403196983,True,6.0,0.6,0.0019845741344925467,0.001825808203733143,13993,13.666934040846547,MONITOR,routine monitoring
138744,2026-01-01,7.334852871722212,PVC,450.0,7.6618487181266,KIT 6,0,0,,,0,237035.4811506191,7787.773256966068,1.9845741344925468e-05,1.9845741344925468e-05,1.9845741344925468e-05,4.707188994233949e-11,3.6707363285815847e-09,3.796485942635095e-08,length_m,7.66185,reduces risk,-0.9777966737747192,age_years,7.33485,reduces risk,-0.895588755607605,pressure_zone,KIT 6,reduces risk,-0.47313914538244717,True,6.0,0.6,0.0019845741344925467,0.001825808203733143,13994,13.660763867464675,MONITOR,routine monitoring
138746,2026-01-01,7.334852871722212,PVC,600.0,1.52311127138568,KIT 6,0,0,,,0,453985.5880410736,14915.64387083344,1.9845741344925468e-05,1.9845741344925468e-05,1.9845741344925468e-05,5.169261050425617e-13,6.264703522055891e-11,8.382688020651473e-10,length_m,1.52311,reduces risk,-1.7731369733810425,age_years,7.33485,reduces risk,-0.890917181968689,material,PVC,reduces risk,-0.3412277185670973,True,6.0,0.6,0.0019845741344925467,0.001825808203733143,13995,13.654593694082804,MONITOR,routine monitoring
138748,2026-01-01,7.334852871722212,PVC,450.0,9.6567967716086,KIT 6,0,0,,,0,187101.61760544483,6147.201958329981,1.9845741344925468e-05,1.9845741344925468e-05,1.9845741344925468e-05,2.194721222304775e-10,1.4583679737115386e-08,1.3738042739728968e-07,age_years,7.33485,reduces risk,-0.8771691918373108,length_m,9.6568,reduces risk,-0.77468341588974,pressure_zone,KIT 6,reduces risk,-0.5270923375792336,True,6.0,0.6,0.0019845741344925467,0.001825808203733143,13996,13.648423520700932,MONITOR,routine monitoring
138756,2026-01-01,7.334852871722212,PVC,200.0,2.60073482639191,KIT 5,0,0,,,0,675735.685979548,22201.217634187084,1.9845741344925468e-05,1.9845741344925468e-05,1.9845741344925468e-05,2.6631888253339357e-14,4.230583006293388e-12,6.631081530694828e-11,length_m,2.60073,reduces risk,-1.6544877290725708,age_years,7.33485,reduces risk,-1.0824801921844482,material,PVC,reduces risk,-0.5147301692450128,True,6.0,0.6,0.0019845741344925467,0.001825808203733143,13997,13.642253347319059,MONITOR,routine monitoring
138760,2026-01-01,7.334852871722212,PVC,300.0,2.81710941589646,KIT 5,0,0,,,0,465100.49235117773,15280.822763545131,1.9845741344925468e-05,1.9845741344925468e-05,1.9845741344925468e-05,4.3353746331474063e-13,5.341206347955376e-11,7.21598098804375e-10,length_m,2.81711,reduces risk,-1.551347255706787,age_years,7.33485,reduces risk,-1.0507506132125854,material,PVC,reduces risk,-0.42564645409947843,True,6.0,0.6,0.0019845741344925467,0.001825808203733143,13998,13.636083173937187,MONITOR,routine monitoring
138764,2026-01-01,7.334852871722212,PVC,400.0,3.70375026739875,KIT 5,0,0,,,0,536216.9527696428,17617.345827048368,1.9845741344925468e-05,1.9845741344925468e-05,1.9845741344925468e-05,1.5224443288480944e-13,2.066220551493296e-11,2.953891736360889e-10,length_m,3.70375,reduces risk,-1.5801491737365723,age_years,7.33485,reduces risk,-0.9274111390113831,material,PVC,reduces risk,-0.40474303707378567,True,6.0,0.6,0.0019845741344925467,0.001825808203733143,13999,13.629913000555316,MONITOR,routine monitoring
138766,2026-01-01,7.334852871722212,PVC,450.0,2.40511608236137,KIT 6,0,0,,,0,196461.1585044657,6454.708589645478,1.9845741344925468e-05,1.9845741344925468e-05,1.9845741344925468e-05,1.6045717941741536e-10,1.1019936126852944e-08,1.0582817132155979e-07,length_m,2.40512,reduces risk,-0.9722359776496887,age_years,7.33485,reduces risk,-0.9494844079017639,material,PVC,reduces risk,-0.3728372926671,True,6.0,0.6,0.0019845741344925467,0.001825808203733143,14000,13.623742827173444,MONITOR,routine monitoring
138768,2026-01-01,7.334852871722212,PVC,300.0,0.997333830711635,KIT 6,0,0,,,0,730693.2636470888,24006.842477983984,1.9845741344925468e-05,1.9845741344925468e-05,1.9845741344925468e-05,1.4596159632094313e-14,2.4454976778210178e-12,3.954358775074659e-11,length_m,0.997334,reduces risk,-1.7907992601394653,age_years,7.33485,reduces risk,-1.1333181858062744,material,PVC,reduces risk,-0.385026425759861,True,6.0,0.6,0.0019845741344925467,0.001825808203733143,14001,13.617572653791571,MONITOR,routine monitoring
138770,2026-01-01,7.334852871722212,PVC,450.0,4.99588486588085,KIT 6,0,0,,,0,193897.70815288913,6370.4867254896935,1.9845741344925468e-05,1.9845741344925468e-05,1.9845741344925468e-05,1.7460528978704024e-10,1.188558265925719e-08,1.1355119212452927e-07,age_years,7.33485,reduces risk,-0.9258908033370972,length_m,4.99588,reduces risk,-0.9173039793968201,material,PVC,reduces risk,-0.39860904757733806,True,6.0,0.6,0.0019845741344925467,0.001825808203733143,14002,13.6114024804097,MONITOR,routine monitoring
