asset_id,driver_rank,feature,feature_value,risk_contribution_log_time,direction
76876,3,pressure_zone,KIT 4,0.0926430805484415,raises risk
82624,1,length_m,3.78303,-1.5751501321792603,reduces risk
82624,2,age_years,16.3344,-1.0292398929595947,reduces risk
82624,3,material,PVC,-0.49043283992432407,reduces risk
82626,1,length_m,7.5377,-1.294376254081726,reduces risk
82626,2,age_years,20.5863,-0.8656905293464661,reduces risk
82626,3,pressure_zone,KIT 2W,-0.5784581046063977,reduces risk
72280,1,age_years,20.5863,-0.7156205177307129,reduces risk
72280,2,pressure_zone,KIT 2W,-0.510704083400924,reduces risk
72280,3,material,PVC,-0.49144107022948447,reduces risk
3720,1,age_years,57.0005,0.7340797781944275,raises risk
3720,2,length_m,69.5515,-0.4733946919441223,reduces risk
3720,3,material,DI,0.1607505198189756,raises risk
82628,1,length_m,7.62113,-1.312820315361023,reduces risk
82628,2,age_years,57.0005,0.5755804181098938,raises risk
82628,3,material,DI,0.07318117265822366,raises risk
82630,1,length_m,9.19805,-0.8399535417556763,reduces risk
82630,2,age_years,30.2539,-0.22397327423095703,reduces risk
82630,3,material,DI,-0.16632228894377477,reduces risk
61390,1,age_years,30.2539,-0.47267448902130127,reduces risk
61390,2,pipe_size,200,0.11937464773654938,raises risk
61390,3,material,DI,-0.0752188276637753,reduces risk
21110,1,age_years,60.0012,0.6451773643493652,raises risk
21110,2,past_break_count,1,0.4518975019454956,raises risk
21110,3,years_since_last_break,7.87422,0.2541087865829468,raises risk
82632,1,length_m,13.4854,-0.4753008484840393,reduces risk
82632,2,pipe_size,300,-0.2270508110523224,reduces risk
82632,3,age_years,48.001,0.14954854547977448,raises risk
37660,1,pipe_size,300,-0.2869436740875244,reduces risk
37660,2,age_years,48.001,0.22320570051670074,raises risk
37660,3,length_m,71.3214,-0.16767475008964539,reduces risk
10820,1,length_m,69.3211,-0.5646185874938965,reduces risk
10820,2,age_years,52.0011,0.4747657775878906,raises risk
10820,3,pipe_size,300,-0.2312960922718048,reduces risk
6320,1,age_years,57.0005,0.7100886106491089,raises risk
6320,2,length_m,27.9863,-0.17297418415546417,reduces risk
6320,3,pipe_size,150,0.1553092747926712,raises risk
61873,1,pipe_size,450,-0.7945007085800171,reduces risk
61873,2,age_years,61.0006,0.47367042303085327,raises risk
61873,3,past_break_count,1,0.39896029233932495,raises risk
4650,1,length_m,208.251,0.5959855914115906,raises risk
4650,2,pipe_size,200,0.1825256198644638,raises risk
4650,3,material,DI,-0.09426286210873513,reduces risk
82634,1,length_m,7.6693,-1.251503825187683,reduces risk
82634,2,age_years,40.5867,0.18850962817668915,raises risk
82634,3,pipe_size,200,0.131141796708107,raises risk
82636,1,length_m,6.09608,-1.317026972770691,reduces risk
82636,2,pipe_size,300,-0.13759320974349976,reduces risk
82636,3,age_years,44.2528,-0.09130603075027466,reduces risk
35160,1,length_m,18.3465,-0.3134976029396057,reduces risk
35160,2,pipe_size,300,-0.20492437481880188,reduces risk
35160,3,years_since_last_break,missing,0.05674454057589173,raises risk
81000,1,length_m,8.92292,-0.5699735283851624,reduces risk
81000,2,age_years,34.3361,-0.1528669148683548,reduces risk
81000,3,material,DI,-0.10392374314324115,reduces risk
76152,1,age_years,16.7177,-0.8271039128303528,reduces risk
76152,2,length_m,9.05249,-0.7536934018135071,reduces risk
76152,3,material,PVC,-0.4447699248958088,reduces risk
82638,1,length_m,22.8599,-1.264040231704712,reduces risk
82638,2,pressure_zone,KIT 6,-0.20486217571306042,reduces risk
82638,3,age_years,41.0002,-0.08779305964708328,reduces risk
27750,1,pressure_zone,KIT 6,-0.24457593142869882,reduces risk
27750,2,pipe_size,200,0.12778547406196594,raises risk
27750,3,age_years,41.0002,0.11304347962141037,raises risk
13520,1,length_m,3.13357,-1.3679981231689453,reduces risk
13520,2,pressure_zone,KIT 6,0.3631856965657789,raises risk
13520,3,pipe_size,150,0.11652781814336777,raises risk
82640,1,length_m,1.42029,-2.164928913116455,reduces risk
82640,2,pressure_zone,KIT 6,0.29944758795318194,raises risk
82640,3,age_years,39.7161,-0.23008210957050323,reduces risk
82642,1,length_m,21.4878,-0.8808298110961914,reduces risk
82642,2,age_years,58.3366,0.39159929752349854,raises risk
82642,3,material,CI,0.3130259889367153,raises risk
18000,1,past_break_count,4,0.6600148677825928,raises risk
