source_file,source_row_number,raw__source_object_id,source_object_id,raw__asset_id,asset_id,raw__status,status,raw__pressure_zone,pressure_zone,raw__road_segment_id,road_segment_id,raw__map_label,map_label,raw__category,category,raw__pipe_size,pipe_size,raw__material,material,raw__lined,lined,raw__lined_date,lined_date,raw__lined_material,lined_material,raw__installation_date,installation_date,raw__acquisition,acquisition,raw__consultant,consultant,raw__ownership,ownership,raw__bridge_main,bridge_main,raw__bridge_details,bridge_details,raw__criticality,criticality,raw__rel_cleaning_area,rel_cleaning_area,raw__rel_cleaning_subarea,rel_cleaning_subarea,raw__undersized,undersized,raw__shallow_main,shallow_main,raw__condition_score,condition_score,raw__oversized,oversized,raw__cleaned,cleaned,raw__length_m,length_m,invalid_primary_key,invalid_pipe_size,model_asset_eligible
Water_Mains_5473643541506873803.csv,6106,84972,84972,76603,76603,ACTIVE,ACTIVE,KIT 2W,KIT 2W,601569,601569,136.1m 150mm  PVC,136.1m 150mm  PVC,TREATED,TREATED,150,150,PVC,PVC,NO,NO,,,NONE,NONE,8/27/2010 12:00:00 AM,2010-08-27T00:00:00,DONATED,DONATED,,,KITCHENER,KITCHENER,N,N,,,6,6,5,5,37,37,N,N,N,N,9.35,9.35,N,N,N,N,136.120309232522,136.120309233,False,False,True
Water_Mains_5473643541506873803.csv,6107,84973,84973,89266,89266,ACTIVE,ACTIVE,KIT 4,KIT 4,23031,23031,9.6m 300mm  DI,9.6m 300mm  DI,TREATED,TREATED,300,300,DI,DI,NO,NO,,,NONE,NONE,6/1/1985 12:00:00 AM,1985-06-01T00:00:00,PURCHASED,PURCHASED,,,KITCHENER,KITCHENER,N,N,,,7,7,4,4,24,24,N,N,N,N,9.1,9.1,N,N,Y,Y,9.62366341027271,9.62366341027,False,False,True
Water_Mains_5473643541506873803.csv,6108,84974,84974,28330,28330,ACTIVE,ACTIVE,KIT 4,KIT 4,12139,12139,116.1m 300mm  DI,116.1m 300mm  DI,TREATED,TREATED,300,300,DI,DI,NO,NO,,,NONE,NONE,6/1/1985 12:00:00 AM,1985-06-01T00:00:00,PURCHASED,PURCHASED,,,KITCHENER,KITCHENER,N,N,,,7,7,4,4,24,24,N,N,N,N,9.1,9.1,N,N,Y,Y,116.095574990905,116.095574991,False,False,True
Water_Mains_5473643541506873803.csv,6109,84975,84975,89268,89268,ACTIVE,ACTIVE,KIT 5,KIT 5,5545,5545,7.6m 150mm  DI,7.6m 150mm  DI,TREATED,TREATED,150,150,DI,DI,NO,NO,,,NONE,NONE,1/29/1973 12:00:00 AM,1973-01-29T00:00:00,DONATED,DONATED,NA,NA,KITCHENER,KITCHENER,N,N,,,5,5,6,6,11,11,N,N,N,N,8.5,8.5,N,N,N,N,7.61989132630504,7.61989132631,False,False,True
Water_Mains_5473643541506873803.csv,6110,84976,84976,8650,8650,ACTIVE,ACTIVE,KIT 5,KIT 5,5545,5545,32.4m 150mm  DI,32.4m 150mm  DI,TREATED,TREATED,150,150,DI,DI,NO,NO,,,NONE,NONE,1/29/1973 12:00:00 AM,1973-01-29T00:00:00,DONATED,DONATED,NA,NA,KITCHENER,KITCHENER,N,N,,,5,5,6,6,11,11,N,N,N,N,8.5,8.5,N,N,N,N,32.4070666085439,32.4070666085,False,False,True
Water_Mains_5473643541506873803.csv,6111,84977,84977,33260,33260,ACTIVE,ACTIVE,KIT 6,KIT 6,5593,5593,59.5m 300mm  DI,59.5m 300mm  DI,TREATED,TREATED,300,300,DI,DI,NO,NO,,,NONE,NONE,1/22/1987 12:00:00 AM,1987-01-22T00:00:00,DONATED,DONATED,BUILDEVCO,BUILDEVCO,KITCHENER,KITCHENER,N,N,,,7,7,6,6,9,9,N,N,N,N,9.1,9.1,N,N,N,N,59.5465368341614,59.5465368342,False,False,True
Water_Mains_5473643541506873803.csv,6112,84978,84978,89270,89270,ACTIVE,ACTIVE,KIT 4,KIT 4,9774,9774,15m 150mm  CI,15m 150mm  CI,TREATED,TREATED,150,150,CI,CI,NO,NO,,,NONE,NONE,1/1/1932 12:00:00 AM,1932-01-01T00:00:00,DONATED,DONATED,,,KITCHENER,KITCHENER,N,N,,,7,7,2,2,19,19,N,N,N,N,7.75,7.75,N,N,Y,Y,14.9961524731087,14.9961524731,False,False,True
Water_Mains_5473643541506873803.csv,6113,84980,84980,89272,89272,ACTIVE,ACTIVE,KIT 4,KIT 4,15760,15760,7.2m 200mm  CI,7.2m 200mm  CI,TREATED,TREATED,200,200,CI,CI,NO,NO,,,NONE,NONE,1/1/1961 12:00:00 AM,1961-01-01T00:00:00,DONATED,DONATED,,,KITCHENER,KITCHENER,N,N,,,6,6,4,4,10,10,N,N,N,N,7.75,7.75,N,N,Y,Y,7.24407285593886,7.24407285594,False,False,True
Water_Mains_5473643541506873803.csv,6114,84981,84981,1340,1340,ACTIVE,ACTIVE,KIT 4,KIT 4,15760,15760,134.6m 200mm  CI,134.6m 200mm  CI,TREATED,TREATED,200,200,CI,CI,NO,NO,,,NONE,NONE,1/1/1961 12:00:00 AM,1961-01-01T00:00:00,DONATED,DONATED,,,KITCHENER,KITCHENER,N,N,,,6,6,4,4,10,10,N,N,N,N,5.35,5.35,N,N,Y,Y,134.649024294124,134.649024294,False,False,True
Water_Mains_5473643541506873803.csv,6115,84984,84984,80046,80046,ACTIVE,ACTIVE,KIT 4,KIT 4,10450,10450,7.1m 150mm  CI,7.1m 150mm  CI,TREATED,TREATED,150,150,CI,CI,NO,NO,,,NONE,NONE,1/1/1955 12:00:00 AM,1955-01-01T00:00:00,DONATED,DONATED,,,KITCHENER,KITCHENER,N,N,,,5,5,2,2,37,37,N,N,N,N,7.75,7.75,N,N,Y,Y,7.11981215482012,7.11981215482,False,False,True
